_.circularPointsAiming.10.3.de	_.circularPointsAiming.10.3.cabea.cc.11	_.circularPointsAiming.10.3.cabea.e.21	_.circularPointsAiming.10.3.cabea.e.11	_.circularPointsAiming.10.3.cabea.cc.21	_.circularPointsAiming.10.3.ga	_.circularPointsAiming.10.3.ga.33	_.circularPointsAiming.10.3.pso	_.circularPointsAiming.10.3.me.2
3.800e+00	2.057e+00	6.619e-01	2.070e+00	5.404e-01	3.641e+00	3.581e+00	3.730e+00	4.794e-01
3.957e+00	3.621e+00	6.431e-01	1.993e+00	4.831e-01	3.591e+00	3.621e+00	3.730e+00	4.175e-01
3.868e+00	4.006e-01	6.138e-01	3.905e-01	2.014e+00	3.648e+00	3.640e+00	3.730e+00	1.874e+00
3.852e+00	2.007e+00	5.852e-01	3.995e-01	1.973e+00	3.628e+00	3.577e+00	3.730e+00	4.373e-01
3.768e+00	1.982e+00	5.377e-01	3.577e+00	5.026e-01	3.630e+00	3.633e+00	3.730e+00	3.432e+00
3.761e+00	1.995e+00	5.200e-01	1.978e+00	4.539e-01	3.552e+00	3.634e+00	3.730e+00	4.110e-01
3.981e+00	3.590e+00	1.993e+00	4.377e-01	6.205e-01	3.610e+00	3.639e+00	3.730e+00	1.879e+00
4.008e+00	3.624e+00	6.012e-01	1.970e+00	1.966e+00	3.616e+00	3.591e+00	3.730e+00	1.924e+00
4.019e+00	1.978e+00	5.890e-01	2.111e+00	1.943e+00	3.603e+00	3.628e+00	3.730e+00	4.795e-01
3.735e+00	3.609e+00	5.062e-01	1.993e+00	4.792e-01	3.636e+00	3.607e+00	3.730e+00	4.578e-01
3.978e+00	2.001e+00	5.072e-01	4.019e-01	4.983e-01	3.619e+00	3.623e+00	3.730e+00	4.449e-01
4.025e+00	1.989e+00	4.980e-01	3.547e+00	2.020e+00	3.569e+00	3.618e+00	3.730e+00	1.877e+00
3.904e+00	3.570e+00	5.711e-01	2.038e+00	4.351e-01	3.637e+00	3.628e+00	3.730e+00	4.903e-01
3.732e+00	3.679e+00	5.945e-01	1.955e+00	4.650e-01	3.617e+00	3.608e+00	3.730e+00	4.477e-01
3.948e+00	2.017e+00	4.461e-01	2.007e+00	5.199e-01	3.622e+00	3.636e+00	3.730e+00	4.713e-01
3.982e+00	2.004e+00	4.436e-01	4.654e-01	4.699e-01	3.602e+00	3.620e+00	3.730e+00	1.914e+00
3.731e+00	2.025e+00	5.722e-01	2.029e+00	5.898e-01	3.608e+00	3.599e+00	3.730e+00	4.313e-01
4.165e+00	3.637e-01	1.944e+00	2.097e+00	4.660e-01	3.640e+00	3.612e+00	3.730e+00	4.319e-01
3.743e+00	1.982e+00	5.543e-01	2.010e+00	4.422e-01	3.634e+00	3.584e+00	3.730e+00	1.905e+00
3.955e+00	2.021e+00	5.576e-01	3.554e+00	4.034e-01	3.625e+00	3.590e+00	3.940e+00	4.773e-01
3.896e+00	3.607e+00	4.905e-01	2.029e+00	5.663e-01	3.589e+00	3.603e+00	3.730e+00	4.336e-01
3.938e+00	4.353e-01	1.989e+00	2.010e+00	5.460e-01	3.610e+00	3.600e+00	3.730e+00	4.815e-01
3.988e+00	2.026e+00	4.550e-01	4.332e-01	4.473e-01	3.612e+00	3.622e+00	3.730e+00	2.000e+00
4.023e+00	4.254e-01	1.975e+00	2.010e+00	4.323e-01	3.607e+00	3.552e+00	3.730e+00	3.953e-01
3.851e+00	3.617e+00	6.006e-01	2.003e+00	3.989e-01	3.600e+00	3.658e+00	3.730e+00	3.419e+00
3.850e+00	2.071e+00	4.312e-01	2.064e+00	1.954e+00	3.619e+00	3.639e+00	3.730e+00	4.154e-01
4.068e+00	3.750e-01	4.139e-01	1.957e+00	5.461e-01	3.609e+00	3.638e+00	3.730e+00	1.856e+00
3.756e+00	2.010e+00	5.066e-01	2.013e+00	1.980e+00	3.629e+00	3.644e+00	3.730e+00	4.517e-01
3.739e+00	2.031e+00	4.256e-01	1.949e+00	4.847e-01	3.638e+00	3.620e+00	3.730e+00	1.960e+00
3.767e+00	3.522e+00	5.367e-01	2.049e+00	4.783e-01	3.641e+00	3.652e+00	3.730e+00	1.948e+00
